the_geom,the_geom_webmercator,collection_date,count,test_result,etl_timestamp
,,2020-06-17,150,positive,2022-03-08 16:00:02
,,2022-02-26,44,positive,2022-03-08 16:00:02
,,2021-10-26,7994,negative,2022-03-08 16:00:02
,,2021-06-16,3305,negative,2022-03-08 16:00:02
,,2021-02-11,331,positive,2022-03-08 16:00:02
,,2021-01-18,7254,negative,2022-03-08 16:00:02
,,2021-06-08,40,positive,2022-03-08 16:00:02
,,2021-01-03,379,positive,2022-03-08 16:00:02
,,2021-05-22,3058,negative,2022-03-08 16:00:02
,,2022-01-04,5603,positive,2022-03-08 16:00:02
,,2020-08-09,75,positive,2022-03-08 16:00:02
,,2021-09-13,10822,negative,2022-03-08 16:00:02
,,2020-03-19,158,negative,2022-03-08 16:00:02
,,2021-08-20,280,positive,2022-03-08 16:00:02
,,2021-12-27,5000,negative,2022-03-08 16:00:02
,,2020-04-12,206,positive,2022-03-08 16:00:02
,,2020-08-17,3076,negative,2022-03-08 16:00:02
,,2020-12-27,3879,negative,2022-03-08 16:00:02
,,2021-04-27,487,positive,2022-03-08 16:00:02
,,2022-01-27,501,positive,2022-03-08 16:00:02
,,2020-07-17,174,positive,2022-03-08 16:00:02
,,2021-09-22,12196,negative,2022-03-08 16:00:02
,,2020-03-10,20,negative,2022-03-08 16:00:02
,,2021-12-02,577,positive,2022-03-08 16:00:02
,,2020-05-21,2274,negative,2022-03-08 16:00:02
,,2020-09-11,133,positive,2022-03-08 16:00:02
,,2021-07-12,3613,negative,2022-03-08 16:00:02
,,2020-09-29,4393,negative,2022-03-08 16:00:02
,,2021-11-14,2271,negative,2022-03-08 16:00:02
,,2021-06-28,24,positive,2022-03-08 16:00:02
,,2020-06-04,119,positive,2022-03-08 16:00:02
,,2021-06-24,3286,negative,2022-03-08 16:00:02
,,2021-02-03,473,positive,2022-03-08 16:00:02
,,2021-10-05,389,positive,2022-03-08 16:00:02
,,2020-06-28,2076,negative,2022-03-08 16:00:02
,,2022-02-15,7975,negative,2022-03-08 16:00:02
,,2021-07-23,3268,negative,2022-03-08 16:00:02
,,2021-11-21,184,positive,2022-03-08 16:00:02
,,2020-05-10,897,negative,2022-03-08 16:00:02
,,2020-09-22,109,positive,2022-03-08 16:00:02
,,2021-03-28,390,positive,2022-03-08 16:00:02
,,2020-11-23,7633,negative,2022-03-08 16:00:02
,,2020-07-27,158,positive,2022-03-08 16:00:02
,,2020-04-01,993,negative,2022-03-08 16:00:02
,,2022-01-17,1315,positive,2022-03-08 16:00:02
,,2021-08-31,7988,negative,2022-03-08 16:00:02
,,2020-12-12,6120,negative,2022-03-08 16:00:02
,,2021-04-10,489,positive,2022-03-08 16:00:02
,,2020-05-04,466,positive,2022-03-08 16:00:02
,,2021-12-17,10931,negative,2022-03-08 16:00:02
,,2020-08-27,3531,negative,2022-03-08 16:00:02
,,2021-07-29,226,positive,2022-03-08 16:00:02
,,2021-03-17,7129,negative,2022-03-08 16:00:02
,,2020-11-02,546,positive,2022-03-08 16:00:02
,,2021-03-10,4889,negative,2022-03-08 16:00:02
,,2020-11-09,1025,positive,2022-03-08 16:00:02
,,2020-05-22,243,positive,2022-03-08 16:00:02
,,2021-11-01,10726,negative,2022-03-08 16:00:02
,,2021-07-11,55,positive,2022-03-08 16:00:02
,,2020-10-12,4434,negative,2022-03-08 16:00:02
,,2020-10-26,5150,negative,2022-03-08 16:00:02
,,2021-02-20,228,positive,2022-03-08 16:00:02
,,2020-07-05,67,positive,2022-03-08 16:00:02
,,2021-10-12,11051,negative,2022-03-08 16:00:02
,,2022-02-08,261,positive,2022-03-08 16:00:02
,,2021-03-31,631,positive,2022-03-08 16:00:02
,,2020-11-20,10096,negative,2022-03-08 16:00:02
,,2020-04-14,757,negative,2022-03-08 16:00:02
,,2020-08-15,88,positive,2022-03-08 16:00:02
,,2021-12-29,5653,positive,2022-03-08 16:00:02
,,2021-08-18,3992,negative,2022-03-08 16:00:02
,,2020-08-05,5059,negative,2022-03-08 16:00:02
,,2022-01-08,4680,negative,2022-03-08 16:00:02
,,2020-03-23,168,positive,2022-03-08 16:00:02
,,2021-09-09,362,positive,2022-03-08 16:00:02
,,2021-05-08,5191,negative,2022-03-08 16:00:02
,,2020-12-16,699,positive,2022-03-08 16:00:02
,,2020-09-07,2060,negative,2022-03-08 16:00:02
,,2020-04-23,453,positive,2022-03-08 16:00:02
,,2021-12-06,11495,negative,2022-03-08 16:00:02
,,2021-08-09,318,positive,2022-03-08 16:00:02
,,2021-07-27,3774,negative,2022-03-08 16:00:02
,,2020-05-06,1908,negative,2022-03-08 16:00:02
,,2021-11-17,362,positive,2022-03-08 16:00:02
,,2020-09-26,77,positive,2022-03-08 16:00:02
,,2022-03-02,82,positive,2022-03-08 16:00:02
,,2020-06-13,75,positive,2022-03-08 16:00:02
,,2021-10-22,10125,negative,2022-03-08 16:00:02
,,2021-06-15,30,positive,2022-03-08 16:00:02
,,2021-02-12,7063,negative,2022-03-08 16:00:02
,,2021-07-02,31,positive,2022-03-08 16:00:02
,,2020-05-31,61,positive,2022-03-08 16:00:02
,,2021-11-10,10742,negative,2022-03-08 16:00:02
,,2020-10-03,3653,negative,2022-03-08 16:00:02
,,2022-02-19,66,positive,2022-03-08 16:00:02
,,2021-10-01,9145,negative,2022-03-08 16:00:02
,,2020-06-24,151,positive,2022-03-08 16:00:02
,,2021-05-11,11974,negative,2022-03-08 16:00:02
,,2021-01-14,582,positive,2022-03-08 16:00:02
,,2020-12-31,7378,negative,2022-03-08 16:00:02
,,2021-04-23,488,positive,2022-03-08 16:00:02
,,2021-04-30,10164,negative,2022-03-08 16:00:02
,,2020-12-24,552,positive,2022-03-08 16:00:02
,,2022-01-08,1836,positive,2022-03-08 16:00:02
,,2020-03-23,477,negative,2022-03-08 16:00:02
,,2021-09-09,10033,negative,2022-03-08 16:00:02
,,2020-08-05,198,positive,2022-03-08 16:00:02
,,2021-05-18,6880,negative,2022-03-08 16:00:02
,,2021-01-07,688,positive,2022-03-08 16:00:02
,,2020-10-29,6446,negative,2022-03-08 16:00:02
,,2021-03-21,319,positive,2022-03-08 16:00:02
,,2021-02-15,328,positive,2022-03-08 16:00:02
